pricePerSqm,latitude,longitude,rooms,buildingMaterial,type,buildYear,hasElevator,hasBalcony,condition,hasParkingSpace,squareMeters,hasSecurity,floorCount,floor,hasStorageRoom
14869.565217391304,52.2421735808434,20.8960977295186,3.0,brick,apartmentBuilding,2023.0,yes,no,low,yes,57.5,yes,7.0,3.0,no
15555.555555555555,52.1545742,21.1945313,3.0,brick,blockOfFlats,2023.0,yes,no,premium,yes,63.0,no,3.0,3.0,no
13553.53075170843,52.2711096,20.94867424,2.0,brick,blockOfFlats,1960.0,no,yes,low,no,43.9,no,3.0,1.0,yes
16919.739696312365,52.25634,21.05032,2.0,brick,blockOfFlats,2018.0,yes,yes,not known,no,46.1,no,4.0,1.0,no
26098.9010989011,52.2439498,21.0086867,2.0,concreteSlab,blockOfFlats,1961.0,yes,no,not known,no,36.4,no,6.0,5.0,no
17801.020942408377,52.26463,20.96536,2.0,concreteSlab,blockOfFlats,1965.0,yes,no,not known,no,38.2,no,7.0,1.0,yes
12797.821647379169,52.30471,20.98975,2.0,brick,apartmentBuilding,2018.0,yes,no,not known,no,44.07,no,13.0,7.0,no
15605.46875,52.18947,20.90821,2.0,brick,blockOfFlats,2016.0,yes,yes,not known,no,51.2,no,6.0,6.0,no
15991.471215351812,52.2308498,20.95343447,2.0,concreteSlab,blockOfFlats,1970.0,yes,no,not known,no,46.9,no,10.0,3.0,no
23365.316275764035,52.2252422,20.9360422,3.0,brick,apartmentBuilding,2015.0,yes,yes,not known,yes,56.28,no,7.0,6.0,no
9684.21052631579,52.21425,21.13519,4.0,brick,blockOfFlats,2006.0,yes,no,not known,no,95.0,yes,3.0,3.0,no
27450.980392156864,52.2466922,21.0127007,2.0,brick,tenement,1930.0,no,no,premium,no,51.0,no,4.0,3.0,yes
17514.270887389725,52.2806622,20.9639312,2.0,concreteSlab,blockOfFlats,1964.0,no,yes,not known,no,38.54,no,2.0,1.0,yes
13333.333333333334,52.20103285,20.94612274,5.0,brick,blockOfFlats,2019.0,yes,yes,not known,yes,81.0,no,5.0,5.0,no
12742.71844660194,52.1395846,21.04012542,2.0,brick,blockOfFlats,2001.0,yes,yes,not known,yes,41.2,no,8.0,6.0,no
13041.77545691906,52.28467,20.93654,4.0,concreteSlab,blockOfFlats,1984.0,yes,yes,not known,no,76.6,no,11.0,3.0,yes
17639.70588235294,52.25477,20.9851946,4.0,brick,apartmentBuilding,2000.0,yes,yes,premium,yes,136.0,no,12.0,6.0,no
19545.454545454544,52.2438352,20.9439768,4.0,brick,blockOfFlats,2024.0,yes,yes,not known,yes,110.0,no,5.0,2.0,no
10352.673492605232,52.2709218,21.0567521,4.0,concreteSlab,blockOfFlats,1982.0,no,no,not known,no,87.9,no,2.0,2.0,yes
20944.88188976378,52.2291,20.8875,3.0,brick,blockOfFlats,2016.0,yes,yes,not known,yes,63.5,yes,6.0,6.0,no
20666.666666666668,52.232222,20.991111,2.0,brick,tenement,1895.0,yes,no,not known,no,30.0,no,5.0,5.0,no
15604.395604395604,52.1889899,21.0022116,3.0,brick,apartmentBuilding,2004.0,yes,yes,not known,no,91.0,no,11.0,6.0,no
22952.70104106894,52.24118717,21.02442563,6.0,brick,tenement,1930.0,yes,no,not known,no,121.99,no,7.0,5.0,no
16951.379763469122,52.2220268,20.9342819,4.0,brick,apartmentBuilding,2009.0,yes,yes,premium,yes,76.1,no,5.0,1.0,no
